date,city,latitude,longitude,brand,model,size,store_type,in_house_price,quantity,is_genuine,store_rating,sku
2024-08-28 02:32:21.577078852,Erode,11.341,77.7172,Puma,Suede,6,Factory Outlet,7243.42,8,True,3.8,PuSu60000
2025-07-04 13:17:30.712535624,Salem,11.6643,78.146,New Balance,574,10,Factory Outlet,9079.16,6,True,4.5,Ne57100001
2024-08-11 22:27:06.921346064,Erode,11.341,77.7172,Adidas,NMD,9,Mall Store,12111.38,3,True,4.2,AdNM90002
2023-12-26 23:01:44.945247262,Vellore,12.9165,79.1325,Puma,Cali,10,Mall Store,8580.65,4,False,4.7,PuCa100003
2024-05-06 07:02:05.106255312,Tirunelveli,8.7139,77.7567,Adidas,Gazelle,9,Factory Outlet,7147.29,3,True,4.6,AdGa90004
2023-12-22 02:30:55.172758638,Tirunelveli,8.7139,77.7567,Puma,Suede,6,High Street,6259.88,5,True,3.9,PuSu60005
2024-10-19 16:02:32.647632380,Tirunelveli,8.7139,77.7567,Nike,Dunk,8,Factory Outlet,11991.53,4,True,4.6,NiDu80006
2025-08-04 11:18:03.474173704,Tiruchirappalli,10.7905,78.7047,Puma,RS-X,9,High Street,7380.78,5,True,4.9,PuRS90007
2024-09-14 22:02:55.328766436,Thoothukudi,8.7642,78.1348,Adidas,Gazelle,10,Mall Store,8422.94,5,True,4.0,AdGa100008
2024-09-19 03:40:11.220561028,Salem,11.6643,78.146,Puma,RS-X,10,Factory Outlet,8896.3,5,True,4.2,PuRS100009
2025-02-22 17:53:51.701585080,Madurai,9.9252,78.1198,Puma,RS-X,7,Mall Store,8469.11,4,True,4.2,PuRS70010
2024-05-05 08:15:27.406370318,Erode,11.341,77.7172,Nike,Air Max,11,High Street,10217.47,5,True,4.7,NiAi110011
2024-05-24 13:55:57.707885392,Thoothukudi,8.7642,78.1348,Puma,RS-X,9,High Street,7271.44,6,True,4.3,PuRS90012
2024-09-16 19:36:10.728536424,Madurai,9.9252,78.1198,Adidas,NMD,12,Factory Outlet,11951.42,4,True,4.2,AdNM120013
2023-12-22 08:38:51.476573828,Thanjavur,10.787,79.1378,Nike,Zoom,11,Factory Outlet,9226.98,5,True,3.9,NiZo110014
2023-11-09 06:54:57.404870243,Thoothukudi,8.7642,78.1348,New Balance,574,7,Mall Store,11493.34,8,True,5.0,Ne5770015
2025-08-29 02:37:49.913495672,Tiruchirappalli,10.7905,78.7047,Adidas,Superstar,7,Mall Store,7074.14,5,True,4.6,AdSu70016
2024-08-28 16:33:21.700085004,Erode,11.341,77.7172,New Balance,574,8,Mall Store,9818.91,6,True,4.5,Ne5780017
2025-04-15 15:37:55.133756688,Chennai,13.0827,80.2707,Puma,RS-X,9,High Street,9415.58,4,True,4.7,PuRS90018
2024-06-16 23:28:36.385819288,Vellore,12.9165,79.1325,Adidas,Superstar,11,High Street,8015.04,7,True,4.6,AdSu110019
2025-07-21 14:24:15.552777632,Vellore,12.9165,79.1325,New Balance,574,7,Mall Store,8986.08,4,True,3.7,Ne5770020
2025-03-17 14:18:04.014200704,Chennai,13.0827,80.2707,Puma,RS-X,6,Mall Store,7436.6,7,True,3.9,PuRS60021
2025-09-08 15:48:25.885294264,Coimbatore,11.0168,76.9558,Puma,Suede,8,High Street,5623.14,3,True,3.6,PuSu80022
2024-04-09 02:22:55.628781438,Vellore,12.9165,79.1325,New Balance,327,10,Factory Outlet,10505.06,7,True,3.9,Ne32100023
2024-02-14 12:41:47.885394270,Chennai,13.0827,80.2707,Adidas,UltraBoost,8,High Street,12697.71,7,True,4.3,AdUl80024
2024-03-12 17:20:57.362868142,Vellore,12.9165,79.1325,Adidas,Gazelle,9,Factory Outlet,7331.81,5,True,3.6,AdGa90025
2024-11-01 22:55:20.446022300,Erode,11.341,77.7172,Puma,RS-X,12,Factory Outlet,8812.22,14,True,3.8,PuRS120026
2024-09-28 10:11:05.673283664,Salem,11.6643,78.146,Nike,Dunk,10,High Street,9567.9,5,True,4.5,NiDu100027
2024-03-17 00:43:20.770038502,Tiruchirappalli,10.7905,78.7047,New Balance,327,11,Factory Outlet,9334.09,4,True,4.9,Ne32110028
2024-01-18 08:55:12.165608280,Tiruchirappalli,10.7905,78.7047,Puma,Suede,11,Factory Outlet,8258.98,16,True,4.4,PuSu110029
2023-12-25 19:52:18.456922846,Tirunelveli,8.7139,77.7567,Puma,RS-X,8,High Street,9063.5,5,True,4.8,PuRS80030
2023-11-17 12:54:06.642332116,Coimbatore,11.0168,76.9558,New Balance,327,9,Mall Store,13197.31,6,True,3.7,Ne3290031
2023-10-27 14:55:43.487174358,Erode,11.341,77.7172,New Balance,574,6,Factory Outlet,10968.81,0,True,4.4,Ne5760032
2024-05-14 01:37:55.493774688,Vellore,12.9165,79.1325,New Balance,574,10,Factory Outlet,7643.08,5,True,4.3,Ne57100033
2023-12-18 18:47:43.223161158,Erode,11.341,77.7172,Puma,Suede,10,Factory Outlet,5888.03,5,True,3.6,PuSu100034
2024-08-12 10:42:59.528976448,Thoothukudi,8.7642,78.1348,Adidas,Gazelle,7,Mall Store,6229.3,7,True,4.5,AdGa70035
2024-02-09 06:32:46.778338916,Tirunelveli,8.7139,77.7567,Adidas,NMD,8,Mall Store,12525.06,3,True,4.1,AdNM80036
2025-09-25 04:39:18.117905888,Salem,11.6643,78.146,Adidas,Gazelle,7,High Street,7021.96,2,True,4.2,AdGa70037
2024-06-29 03:11:57.695884792,Coimbatore,11.0168,76.9558,Nike,Dunk,9,High Street,10106.01,7,True,4.8,NiDu90038
2025-04-04 08:56:04.008200408,Thoothukudi,8.7642,78.1348,New Balance,990,8,High Street,15399.61,3,True,3.6,Ne9980039
2024-10-06 22:18:11.214560728,Coimbatore,11.0168,76.9558,Puma,Suede,10,Mall Store,7541.68,6,True,4.4,PuSu100040
2024-10-17 06:13:24.640232008,Chennai,13.0827,80.2707,Puma,Suede,10,Factory Outlet,9586.39,10,True,4.3,PuSu100041
2024-08-16 23:20:45.482274112,Coimbatore,11.0168,76.9558,Puma,RS-X,9,Factory Outlet,9472.83,5,True,4.2,PuRS90042
2024-05-27 14:38:39.595979796,Tiruchirappalli,10.7905,78.7047,New Balance,574,6,Mall Store,9767.76,5,True,4.8,Ne5760043
2024-08-08 23:29:32.548627428,Tirunelveli,8.7139,77.7567,Puma,Suede,6,Factory Outlet,7407.26,9,True,4.0,PuSu60044
2024-10-28 09:25:00.735036752,Tiruchirappalli,10.7905,78.7047,New Balance,990,11,Mall Store,17034.79,8,True,4.2,Ne99110045
2024-12-03 13:34:34.603730184,Madurai,9.9252,78.1198,Nike,Dunk,10,Mall Store,8834.07,11,True,4.3,NiDu100046
2024-01-03 07:06:50.240512025,Tirunelveli,8.7139,77.7567,Adidas,NMD,10,Factory Outlet,14237.62,6,True,4.2,AdNM100047
2024-06-10 10:39:53.759687984,Thanjavur,10.787,79.1378,New Balance,990,10,Factory Outlet,14234.73,5,True,3.6,Ne99100048
2025-04-25 18:17:46.013300664,Chennai,13.0827,80.2707,New Balance,327,11,Factory Outlet,10434.3,4,True,3.5,Ne32110049
2024-11-07 08:34:36.583829188,Salem,11.6643,78.146,Adidas,Gazelle,11,Mall Store,8404.07,14,True,4.8,AdGa110050
2025-02-20 18:35:28.786439320,Coimbatore,11.0168,76.9558,Puma,RS-X,10,High Street,8794.1,6,True,4.1,PuRS100051
2024-06-24 04:03:26.650332516,Thoothukudi,8.7642,78.1348,Nike,Air Force 1,6,Mall Store,8413.45,1,True,4.5,NiAi60052
2025-07-25 19:08:57.686884344,Madurai,9.9252,78.1198,Adidas,UltraBoost,9,Factory Outlet,14255.89,7,True,3.9,AdUl90053
2024-02-23 11:19:38.518925946,Coimbatore,11.0168,76.9558,Adidas,UltraBoost,8,Mall Store,14622.94,10,True,3.7,AdUl80054
2025-05-08 01:31:22.354117704,Tirunelveli,8.7139,77.7567,Adidas,NMD,6,High Street,12298.92,2,True,3.6,AdNM60055
2025-05-15 20:07:12.741637080,Tiruchirappalli,10.7905,78.7047,Adidas,Gazelle,7,Mall Store,6127.4,3,True,4.1,AdGa70056
2024-05-15 16:10:40.832041600,Tiruchirappalli,10.7905,78.7047,Nike,Air Max,6,Mall Store,11519.68,6,True,3.9,NiAi60057
2024-06-16 08:35:02.505125256,Tiruchirappalli,10.7905,78.7047,New Balance,327,11,Mall Store,9326.84,3,True,3.7,Ne32110058
2025-08-28 00:20:57.182859136,Thoothukudi,8.7642,78.1348,Nike,Air Max,7,Mall Store,8609.49,5,True,4.4,NiAi70059
2025-10-12 11:53:59.261963096,Coimbatore,11.0168,76.9558,New Balance,327,11,Factory Outlet,10962.79,16,True,4.0,Ne32110060
2025-04-06 04:44:11.892594624,Chennai,13.0827,80.2707,New Balance,574,7,High Street,7547.59,7,True,3.8,Ne5770061
2024-04-27 10:09:21.988099404,Tiruchirappalli,10.7905,78.7047,Nike,Zoom,12,Mall Store,7041.45,6,True,4.4,NiZo120062
2025-09-29 00:38:22.675133752,Madurai,9.9252,78.1198,Adidas,Gazelle,9,Factory Outlet,6045.4,6,True,4.4,AdGa90063
2024-02-03 07:45:04.275213760,Erode,11.341,77.7172,Puma,Cali,6,High Street,7786.46,5,True,3.7,PuCa60064
2025-02-25 20:21:41.105055248,Thanjavur,10.787,79.1378,Adidas,Superstar,11,Mall Store,8647.46,8,True,3.7,AdSu110065
2025-07-06 16:06:08.658432920,Thoothukudi,8.7642,78.1348,Puma,Cali,7,Factory Outlet,6749.66,3,True,4.8,PuCa70066
2024-06-27 02:08:27.265363268,Madurai,9.9252,78.1198,Puma,RS-X,8,High Street,8452.47,6,True,4.5,PuRS80067
2025-03-30 22:03:25.570278512,Madurai,9.9252,78.1198,Nike,Zoom,10,Mall Store,7247.31,4,True,3.9,NiZo100068
2023-12-21 13:22:28.807440372,Chennai,13.0827,80.2707,Nike,Air Force 1,9,Factory Outlet,9131.3,3,True,4.9,NiAi90069
2024-07-02 00:24:24.553227660,Thanjavur,10.787,79.1378,Puma,Cali,7,Factory Outlet,6679.56,5,True,3.9,PuCa70070
2024-07-16 17:27:08.901445072,Coimbatore,11.0168,76.9558,Nike,Zoom,8,High Street,8837.82,6,True,3.7,NiZo80071
2025-01-09 22:38:42.476123808,Coimbatore,11.0168,76.9558,Nike,Zoom,8,Mall Store,9640.7,12,True,3.7,NiZo80072
2023-10-19 05:26:19.218960948,Thanjavur,10.787,79.1378,Nike,Zoom,9,Factory Outlet,9952.98,8,True,4.2,NiZo90073
2024-07-14 23:24:08.532426620,Thanjavur,10.787,79.1378,Nike,Air Max,8,High Street,9227.01,1,True,4.0,NiAi80074
2025-09-24 19:01:06.783339160,Salem,11.6643,78.146,Nike,Air Force 1,7,High Street,8829.72,7,True,4.7,NiAi70075
2025-01-24 06:03:15.489774488,Tirunelveli,8.7139,77.7567,Nike,Zoom,11,Factory Outlet,9035.86,4,True,3.9,NiZo110076
